Date,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
3/2/25,58,49.4,43,27,19.4,13,53,32.3,18,29,15.4,3,27.7,27.6,27.4,0
3/3/25,58,48.6,37,29,23.9,21,62,39.8,24,9,3.6,0,27.7,27.6,27.6,0
3/4/25,65,53.4,42,32,26.3,16,65,38.7,16,28,13.3,0,27.6,27.5,27.4,0
3/5/25,60,52.8,47,30,25.5,21,43,35.1,27,28,18,10,27.6,27.5,27.5,0
3/6/25,58,49.7,0,30,23.6,0,50,34.3,0,22,12,0,27.7,27.7,27.6,0
3/7/25,60,51.4,42,26,23.3,20,49,34.5,21,12,5.6,0,27.8,27.7,27.6,0
3/8/25,63,51.6,41,25,19.9,6,49,31.6,11,28,7.1,0,27.7,27.7,27.6,0
3/9/25,66,55.5,41,22,17.8,14,40,24.5,15,18,6.6,0,27.8,27.7,27.6,0
3/10/25,69,65.1,62,52,40.8,18,63,42.9,17,24,16.7,3,27.6,27.5,27.5,0
3/11/25,75,65.9,57,46,39.4,31,62,39.7,23,25,13,0,27.6,27.5,27.5,0
3/12/25,59,57.5,56,39,39,39,53,50.5,48,6,3,0,27.6,27.6,27.6,0
3/13/25,72,62.5,53,36,32.2,29,45,33,22,12,5.3,0,27.7,27.7,27.6,0
3/14/25,66,60.8,57,49,42.2,35,67,51.4,33,20,11.4,7,27.6,27.6,27.6,0
3/15/25,69,60.5,53,46,43.1,40,71,53.4,36,38,14.2,0,27.6,27.5,27.4,0.02
3/16/25,63,55.4,49,43,24.3,12,69,32.8,14,18,8.2,0,27.7,27.7,27.6,0.02
3/17/25,64,54.5,45,26,20.7,14,44,28.5,15,13,6.5,0,27.8,27.8,27.7,0
3/18/25,64,55.5,46,24,17.8,8,41,24.5,11,15,5.1,0,27.9,27.8,27.8,0
3/19/25,60,53.5,50,42,29.5,19,71,43,25,20,4.5,0,27.8,27.6,27.5,0
3/20/25,67,56.8,49,41,37.1,29,74,51,25,20,8.2,0,27.5,27.5,27.4,0.01
3/21/25,59,53,48,45,40,32,89,63,37,25,11.8,5,27.4,27.4,27.3,0
3/22/25,61,53.4,46,38,28.5,17,71,41,20,24,16.8,10,27.7,27.6,27.4,0.18
3/23/25,60,53.4,45,39,33.9,25,74,50,27,14,5.1,0,27.8,27.7,27.7,0
3/24/25,64,54.4,45,35,23.8,12,66,35.2,18,30,15.4,7,27.8,27.7,27.7,0
3/25/25,58,52.2,47,20,13,9,34,21.5,15,15,8.6,0,27.8,27.7,27.6,0
3/26/25,58,51.4,45,21,14.8,4,35,24.3,14,21,9.2,0,27.9,27.7,27.7,0
3/27/25,58,49.1,40,15,5.8,-3,31,18.8,8,16,9.6,0,28,27.9,27.9,0
3/28/25,69,57.5,45,14,10.2,6,28,16.5,10,20,8.7,3,27.9,27.7,27.5,0
3/29/25,66,59.3,51,40,26.8,14,53,30.5,14,28,16.4,6,27.5,27.4,27.4,0
3/30/25,56,49.3,43,34,27.9,22,68,44.8,30,18,6.1,0,27.7,27.5,27.4,0.01
3/31/25,66,52.5,38,32,26.3,19,73,41.5,19,14,6,0,27.9,27.8,27.7,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
4/1/25,72,58.6,43,25,21.1,17,47,26,13,9,5.4,0,27.8,27.7,27.6,0
4/2/25,77,63.6,49,29,23.9,21,36,23.5,13,26,11.3,0,27.7,27.5,27.3,0
4/3/25,63,54.5,43,35,23.8,1,52,31.9,13,39,25.4,7,27.5,27.3,27.2,0
4/4/25,57,48.8,41,10,4.9,-4,28,17.8,9,26,18.2,8,27.8,27.6,27.5,0
4/5/25,59,49.7,40,12,8.2,4,32,19.8,12,15,7.6,0,27.9,27.8,27.8,0
4/6/25,66,54.9,42,16,11,7,34,19.1,10,13,4.6,0,27.9,27.8,27.7,0
4/7/25,75,61.5,47,22,17.3,14,32,19.4,10,16,6.3,0,27.7,27.7,27.6,0
4/8/25,78,67.3,53,34,29.3,18,37,24.8,19,13,4.8,0,27.7,27.7,27.6,0
4/9/25,85,71.9,57,33,29.8,22,37,22.5,10,12,5.7,0,27.9,27.8,27.8,0
4/10/25,90,75.4,59,32,27.7,20,35,19.3,9,10,4.1,0,27.8,27.7,27.6,0
4/11/25,93,77.5,60,31,28.8,24,31,18.4,9,15,7.1,0,27.7,27.6,27.5,0
4/12/25,84,77.1,69,37,29.3,19,28,18.3,9,21,14.5,6,27.5,27.4,27.2,0
4/13/25,78,70.9,64,32,23.2,12,29,17.6,10,23,12.3,0,27.3,27.3,27.2,0
4/14/25,74,66.5,57,20,13,8,16,12.7,8,15,7.3,0,27.6,27.5,27.3,0
4/15/25,79,67.6,56,21,14,11,20,13.5,8,9,4.8,0,27.8,27.8,27.6,0
4/16/25,84,71.5,57,23,20.4,19,26,15.5,9,13,5.1,0,27.8,27.7,27.6,0
4/17/25,86,73.5,59,29,20.4,11,28,15.3,6,26,12.6,0,27.6,27.4,27.3,0
4/18/25,79,69.8,61,23,18,10,23,14.8,8,30,16.4,3,27.4,27.4,27.3,0
4/19/25,70,62.7,56,15,7.8,1,18,12,7,23,15.1,3,27.8,27.6,27.4,0
4/20/25,74,64.7,54,19,9,4,20,11.6,9,15,8.4,0,27.9,27.8,27.8,0
4/21/25,88,71.5,56,32,23.3,17,25,17,11,15,4.3,0,27.9,27.8,27.6,0
4/22/25,82,75.2,68,33,30.2,28,26,19.5,14,13,6.8,0,27.7,27.6,27.5,0
4/23/25,86,74.8,63,33,30.9,29,31,20.7,13,14,7.1,0,27.6,27.5,27.4,0
4/24/25,91,78.5,68,37,28.7,14,32,18,6,16,8.8,3,27.6,27.5,27.4,0
4/25/25,81,75.1,69,23,16.4,11,17,11.2,7,24,13.5,5,27.7,27.6,27.4,0
4/26/25,85,73.1,60,27,24.8,22,27,17.3,11,13,4.1,0,27.8,27.7,27.6,0
4/27/25,92,77.9,63,26,22.2,16,23,13.6,6,12,5.4,0,27.7,27.6,27.5,0
4/28/25,90,81.2,73,28,22,15,17,11.7,6,21,8.9,0,27.7,27.7,27.6,0
4/29/25,96,81.5,65,28,23,19,23,12.8,6,10,5.7,0,27.8,27.7,27.6,0
4/30/25,97,83.5,67,26,23.5,20,21,11.9,6,18,7.9,0,27.6,27.5,27.4,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
5/1/25,91,79.1,65,32,24.2,16,28,14.2,7,32,14.7,6,27.4,27.3,27.2,0
5/2/25,79,68.8,57,33,24.5,14,39,21.1,11,23,12.8,0,27.5,27.4,27.4,0
5/3/25,80,70.5,58,26,21.3,12,26,16.2,10,25,10.5,0,27.5,27.4,27.4,0
5/4/25,68,63.9,59,38,29.2,25,46,27.7,21,25,13,5,27.6,27.5,27.4,0
5/5/25,73,66.2,58,32,29,24,36,25.6,16,18,11.6,0,27.6,27.6,27.5,0
5/6/25,76,67.1,58,35,29.6,25,41,26.1,15,24,14.5,8,27.6,27.6,27.6,0
5/7/25,82,70.3,58,33,29.1,26,38,23,13,17,7.8,0,27.7,27.6,27.6,0
5/8/25,85,71.6,0,36,23,0,35,16.8,0,25,12.5,0,27.6,27.5,27.5,0
5/9/25,86,74.4,58,20,13.5,4,20,11,5,21,8.9,0,27.6,27.5,27.4,0
5/10/25,83,75.1,65,34,26.3,20,32,17.1,13,17,8,0,27.5,27.5,27.4,0
5/11/25,86,75.6,63,35,29.6,24,31,19.4,12,12,4.5,0,27.6,27.6,27.5,0
5/12/25,91,81.3,69,31,28.8,25,22,15.3,11,17,7.5,0,27.7,27.6,27.6,0
5/13/25,92,83.8,75,40,29.8,25,24,14.7,10,22,11.5,0,27.6,27.6,27.5,0
5/14/25,94,83.2,71,42,35.6,25,32,19.9,8,15,7,0,27.7,27.6,27.6,0
5/15/25,96,85.4,71,43,36.8,30,31,18.8,11,13,4.1,0,27.8,27.7,27.7,0
5/16/25,94,85.5,77,48,41.4,36,32,21.8,15,29,8.7,0,27.7,27.7,27.6,0
5/17/25,97,84.7,75,48,43.1,34,38,24.7,11,32,7.5,0,27.7,27.6,27.5,0
5/18/25,98,86,73,46,41.8,34,37,22.9,11,18,5.9,0,27.6,27.5,27.5,0
5/19/25,97,85.8,76,48,44.4,40,32,24,15,33,7.3,0,27.7,27.6,27.6,0
5/20/25,93,83,75,53,49.5,44,45,32.2,19,29,7,0,27.8,27.7,27.6,0
5/21/25,95,84.8,73,52,45.1,37,44,26.7,13,17,6,0,27.7,27.6,27.5,0
5/22/25,96,87.3,77,47,41.6,33,33,21.3,11,17,7.6,0,27.6,27.6,27.5,0
5/23/25,97,87.4,77,47,39.3,28,33,19.9,10,21,10,0,27.6,27.5,27.4,0
5/24/25,94,85.9,76,36,24.1,13,19,11.1,6,21,11.3,0,27.5,27.4,27.4,0
5/25/25,92,82.3,71,32,24.9,17,19,12.8,7,20,9.4,0,27.5,27.4,27.3,0
5/26/25,89,79.8,66,29,24.6,21,22,13.9,8,17,6.2,0,27.5,27.4,27.4,0
5/27/25,91,82,71,35,30,26,23,15.7,11,17,8.1,3,27.6,27.5,27.4,0
5/28/25,94,84.6,70,36,29.9,26,25,14.9,9,20,8.2,0,27.5,27.5,27.4,0
5/29/25,93,84.1,71,38,28.9,18,21,14.2,7,22,11.5,3,27.6,27.5,27.4,0
5/30/25,90,82.2,72,34,27.6,23,20,13.9,10,17,9.2,0,27.6,27.5,27.4,0
5/31/25,90,79.3,67,35,30.6,23,25,17.6,9,15,7.4,0,27.4,27.4,27.4,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
6/1/25,91,82.1,69,40,36.2,32,31,20.1,12,15,8,0,27.5,27.4,27.4,0
6/2/25,94,85.3,74,44,36.7,30,32,18.9,11,14,7.1,0,27.6,27.5,27.5,0
6/3/25,97,86.8,73,37,33.9,32,25,15.8,10,10,4.8,0,27.6,27.5,27.5,0
6/4/25,98,88.5,78,38,34.9,30,21,15.3,10,15,6.7,0,27.6,27.5,27.4,0
6/5/25,100,89.2,77,41,31.8,18,27,14.4,7,23,9.3,0,27.5,27.4,27.3,0
6/6/25,92,83.7,74,32,24.7,13,21,12.5,7,21,10.6,3,27.5,27.4,27.4,0
6/7/25,82,76,71,45,35.5,15,37,24,10,18,7.5,0,27.6,27.6,27.5,0
6/8/25,88,79.3,69,46,41.2,37,42,27.2,17,13,8.8,0,27.6,27.6,27.5,0
6/9/25,93,83.2,73,40,37.1,32,29,20,14,18,7.4,0,27.6,27.6,27.5,0
6/10/25,93,83.9,73,38,33.5,28,26,17.1,11,16,7.9,0,27.6,27.5,27.4,0
6/11/25,87,78.8,72,46,36.3,27,38,22.6,12,22,11.8,3,27.5,27.4,27.4,0
6/12/25,86,77.4,71,49,44.4,40,41,31.9,20,20,7.2,0,27.6,27.6,27.5,0
6/13/25,92,82.6,71,48,43,38,43,26.4,15,14,5.5,0,27.6,27.6,27.5,0
6/14/25,93,84.8,74,49,42.7,39,32,23.3,15,25,9.3,0,27.6,27.5,27.4,0
6/15/25,97,86.6,79,51,46.1,41,35,25.3,15,20,7.6,0,27.6,27.5,27.4,0
6/16/25,83,74.2,63,59,53.5,49,81,51.3,31,26,10.2,0,27.7,27.6,27.6,0.01
6/17/25,98,84.1,67,57,48.3,38,66,33.7,13,16,4.9,0,27.7,27.6,27.5,0.45
6/18/25,99,90.2,81,49,42.5,35,31,20.1,11,23,16.1,0,27.5,27.4,27.3,0
6/19/25,95,86.7,78,47,42.7,34,33,22.1,16,29,18.9,8,27.5,27.4,27.4,0
6/20/25,93,82,73,32,19.5,11,18,10.8,5,22,9.4,0,27.6,27.5,27.5,0
6/21/25,96,83.8,69,29,17.2,7,18,9.6,4,17,7,0,27.6,27.5,27.5,0
6/22/25,95,83.1,69,29,17.6,8,18,9.8,4,18,8.9,0,27.5,27.5,27.4,0
6/23/25,91,80.1,68,31,25.5,15,24,14.6,6,17,8.7,0,27.6,27.6,27.4,0
6/24/25,96,84.1,70,28,20.3,12,19,10.7,5,15,7.7,0,27.7,27.6,27.6,0
6/25/25,98,85.7,70,28,18.8,8,21,10,4,17,9.3,0,27.6,27.6,27.5,0
6/26/25,97,86.5,72,33,24.8,18,20,11.3,6,23,9.2,0,27.6,27.5,27.4,0
6/27/25,98,87.1,75,37,27.3,18,23,12.6,6,12,6.6,0,27.5,27.5,27.4,0
6/28/25,97,86.7,73,38,26.3,20,20,11.9,7,15,6.8,0,27.5,27.5,27.4,0
6/29/25,99,90.3,79,39,34.2,23,22,14.2,9,15,7.1,0,27.6,27.5,27.5,0
6/30/25,103,92.7,80,42,37.2,34,21,14.8,10,10,4.4,0,27.7,27.6,27.5,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
7/1/25,108,96.2,82,42,38.3,36,23,14.2,9,8,4.7,0,27.7,27.6,27.5,0
7/2/25,111,99.9,83,42,34.8,29,21,11.5,6,9,3.5,0,27.6,27.5,27.4,0
7/3/25,113,100.5,85,38,34.2,30,18,10.5,6,17,8.6,0,27.6,27.5,27.4,0
7/4/25,104,95.9,83,37,26.3,6,19,9.6,3,23,10.2,0,27.5,27.5,27.4,0
7/5/25,106,93.3,78,34,27.6,21,19,10.5,5,17,8.3,0,27.6,27.5,27.5,0
7/6/25,105,92.8,77,30,23.3,17,17,8.9,5,14,6.7,0,27.6,27.5,27.4,0
7/7/25,103,91.1,75,34,29.3,24,18,11.5,7,16,7.6,0,27.5,27.4,27.4,0
7/8/25,105,91.8,75,32,24.7,18,18,9.9,5,18,7,0,27.5,27.5,27.4,0
7/9/25,106,94,78,36,29.7,24,17,10.8,7,26,9.3,0,27.6,27.5,27.5,0
7/10/25,106,94.7,80,40,35.9,29,21,13.1,9,18,9.4,0,27.6,27.6,27.5,0
7/11/25,109,98.1,82,45,39.5,32,20,13.5,10,20,10.2,0,27.6,27.6,27.5,0
7/12/25,108,99,89,51,48.8,40,25,18.6,14,23,14.3,7,27.6,27.6,27.5,0
7/13/25,110,98.3,84,47,37,23,25,13.5,5,15,6,0,27.6,27.5,27.5,0
7/14/25,111,99.4,86,34,29.8,27,15,9.2,6,10,5,0,27.6,27.5,27.5,0
7/15/25,114,101.5,87,39,32,26,15,9.4,5,8,3.5,0,27.6,27.6,27.5,0
7/16/25,116,103.8,89,42,35.6,29,15,9.8,6,14,6.7,0,27.6,27.6,27.5,0
7/17/25,114,104.1,89,55,48.1,42,22,15.7,10,28,12,0,27.6,27.6,27.5,0
7/18/25,112,103.1,91,54,50,44,26,17.5,11,23,11.1,0,27.6,27.6,27.5,0
7/19/25,111,101.7,91,54,49.5,46,26,17.8,12,18,8.7,0,27.7,27.6,27.5,0
7/20/25,112,102.1,91,53,47.5,38,26,16.8,9,10,6.3,0,27.7,27.6,27.5,0
7/21/25,114,104,93,45,41.8,37,18,12.5,8,9,4.6,0,27.6,27.6,27.5,0
7/22/25,115,103.8,91,46,42.6,39,20,13,8,21,7.1,0,27.6,27.5,27.5,0
7/23/25,111,101.1,90,63,49.7,43,37,18.7,11,21,9.1,0,27.6,27.6,27.5,0
7/24/25,110,99.9,88,61,50.8,43,36,21,11,17,7.1,0,27.7,27.6,27.6,0
7/25/25,112,101.4,89,49,44.5,39,24,15.2,9,17,5.5,0,27.7,27.6,27.6,0
7/26/25,113,103.7,90,47,44.3,39,21,13.8,10,18,9.2,0,27.6,27.6,27.5,0
7/27/25,113,102,90,41,33.2,26,18,9.9,5,18,9.7,0,27.6,27.6,27.5,0
7/28/25,113,100.6,87,41,37,31,15,11.4,8,20,8,0,27.6,27.6,27.5,0
7/29/25,111,101.6,90,48,43.7,40,24,14.4,10,16,6.6,0,27.7,27.6,27.6,0
7/30/25,109,97.8,88,54,49.5,44,26,19.7,12,31,9.4,0,27.6,27.6,27.6,0
7/31/25,102,94.6,83,61,54.9,45,47,27,15,28,8.4,0,27.7,27.6,27.6,0
,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
8/1/25,95,84.2,78,68,62.4,59,66,49.3,31,24,9.7,0,27.8,27.7,27.6,0
8/2/25,94,84.3,75,71,64.4,60,77,52.8,34,17,7.9,0,27.7,27.7,27.6,0.28
8/3/25,104,91.7,80,61,46.8,27,52,27.1,7,14,6.9,0,27.7,27.6,27.5,0.01
8/4/25,104,93,77,40,32.4,25,26,12.5,8,12,6.5,0,27.6,27.6,27.5,0
8/5/25,108,94.7,79,41,29.6,20,26,11.6,4,17,7,0,27.6,27.6,27.5,0
8/6/25,109,95.5,79,35,23.2,9,20,8.9,3,17,8.1,0,27.6,27.6,27.5,0
8/7/25,107,94.3,78,35,20.7,9,17,8.5,3,25,11,0,27.7,27.6,27.5,0
8/8/25,104,93.6,80,36,28.3,16,18,10.5,6,18,10.7,0,27.7,27.6,27.5,0
8/9/25,102,93.7,83,52,38.8,28,24,15.2,11,18,11.2,0,27.6,27.5,27.5,0
8/10/25,94,87.9,77,67,58.8,51,71,39.3,25,20,9.9,0,27.6,27.6,27.5,0
8/11/25,101,91.5,81,60,55.3,47,47,30.7,20,14,5.7,0,27.6,27.6,27.5,0.08
8/12/25,102,92.4,80,54,49.1,44,39,23.9,14,16,6.2,0,27.7,27.6,27.6,0
8/13/25,101,91,81,52,48.1,44,36,23.5,15,25,7.1,0,27.7,27.6,27.6,0
8/14/25,104,93.1,81,51,45.1,37,33,20.6,10,10,4.3,0,27.7,27.7,27.6,0
8/15/25,104,96.9,89,59,48.7,40,33,19.9,16,13,7.2,0,27.7,27.7,27.6,0
8/16/25,102,94.9,87,58,55.4,50,37,27,19,12,5.6,0,27.7,27.6,27.6,0
8/17/25,106,101.5,94,53,46.5,40,20,15.8,12,21,6.5,0,27.6,27.5,27.5,0
8/18/25,97,85.6,74,70,55.3,35,73,40.2,14,31,9.4,0,27.7,27.6,27.5,0
