Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in),
23,59,52.6,50,48,45.9,41,94,78.9,53,15,4.6,0,27.7,27.6,27.5,0.08,
24,59,52.1,44,43,40.3,37,80,65.2,48,12,4.1,0,27.8,27.7,27.7,0.01,
25,66,55.5,46,44,38,30,86,56,27,18,9.7,3,27.8,27.7,27.7,0,
26,62,54.3,48,29,23.5,19,44,31.3,20,23,9.3,0,28,28,27.8,0,
27,64,53.1,43,34,28.2,25,53,39.7,26,7,3.3,0,28.1,28,28,0,
28,71,57.8,46,40,36.8,33,66,47.4,29,8,4.5,0,28,27.9,27.9,0,
29,73,59.6,49,40,37.7,35,66,46.7,25,7,4,0,27.9,27.9,27.8,0,
30,73,59.3,48,38,36.6,34,64,45.3,24,8,4.3,0,27.8,27.8,27.7,0,
31,67,57.6,47,37,36.1,35,66,46.3,31,9,4.7,0,27.8,27.7,27.5,0,
Feb,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,58,51.6,44,44,41.4,36,93,69.7,44,13,6,0,27.5,27.4,27.4,0,
2,58,48.7,44,44,39.8,32,96,74.5,41,13,5.1,0,27.5,27.4,27.4,0.14,
3,59,49.3,40,36,34.1,31,77,57.8,36,10,4.5,0,27.7,27.6,27.5,0.01,
4,52,49.1,47,42,39.4,35,80,69.3,61,10,5,0,27.8,27.7,27.7,0,
5,50,49.1,47,45,42.5,39,86,78.4,66,12,5,0,27.7,27.6,27.5,0.08,
6,50,48.3,46,48,43,39,93,82.2,74,13,6.5,0,27.5,27.3,27.3,0.42,
7,56,49.8,43,42,36.8,33,90,62.2,44,18,8.9,0,27.4,27.4,27.3,0.18,
8,49,45.4,41,39,33.8,28,82,65,48,15,7.2,0,27.7,27.5,27.4,0.05,
9,52,45.2,40,38,35.2,33,79,68.5,50,17,5.7,0,27.7,27.7,27.6,0,
10,54,47,42,36,26.5,22,79,47,30,23,14.3,8,27.9,27.7,27.6,0.02,
11,54,46.4,40,28,22.5,19,58,40,28,16,9,3,27.9,27.9,27.9,0,
12,56,47.2,38,31,26.6,23,62,46.5,28,10,3,0,27.9,27.8,27.7,0,
13,60,49.7,38,35,30.8,29,70,50.3,31,8,3.4,0,27.7,27.7,27.6,0,
14,63,53.1,42,34,32.1,29,70,47,29,9,4.8,0,27.8,27.7,27.7,0,
15,65,57.1,49,37,32.1,29,55,39.8,28,16,5.5,0,27.8,27.8,27.7,0,
16,67,58,50,37,34.3,33,55,42,28,13,4.5,0,27.8,27.8,27.7,0,
17,65,57.5,49,36,32.7,29,61,40.8,26,9,4.3,0,27.8,27.7,27.6,0,
18,70,60,51,37,35.1,33,54,40.3,27,13,4.4,0,27.7,27.6,27.6,0,
19,71,62,51,43,38.5,33,56,42.5,32,15,6.8,0,27.7,27.7,27.6,0,
20,61,54.4,51,52,48.8,43,96,82.3,52,16,6.8,0,27.8,27.8,27.7,0,
21,63,53,49,49,45.7,39,97,79.3,43,8,2.5,0,27.8,27.7,27.7,0.21,
22,66,55.7,45,40,36,31,76,49.9,28,9,4.2,0,27.9,27.9,27.8,0,
23,66,57.4,49,33,28.5,24,50,34.6,20,9,3.3,0,27.9,27.9,27.8,0,
24,68,58.5,50,34,28.3,22,50,33.3,17,10,4.2,0,27.8,27.8,27.7,0,
25,68,58.4,48,35,32.8,31,58,39.6,25,8,4.3,0,27.8,27.7,27.6,0,
26,76,61.6,49,39,32.7,26,56,36.3,16,30,12.5,0,27.6,27.5,27.4,0,
27,70,61,51,39,26.5,13,61,31.2,11,23,10.9,0,27.7,27.6,27.4,0,
28,66,55.2,45,27,21,12,49,29.1,13,7,3.9,0,27.8,27.7,27.7,0,
29,72,59.1,44,39,29,24,51,33.8,17,25,12.3,3,27.7,27.6,27.6,0,
Mar,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,70,61.8,55,38,32.2,24,51,34.9,18,33,23.6,12,27.7,27.6,27.5,0,
2,67,60.5,54,38,34,27,47,37.3,30,43,25.6,8,27.5,27.4,27.3,0,
3,64,56.8,51,31,29,25,45,35.2,27,29,17.5,9,27.5,27.4,27.4,0,
4,64,54.7,45,31,28.3,25,52,37.7,23,9,5.2,0,27.7,27.6,27.5,0,
5,67,58.3,49,32,30.2,28,50,35.6,23,8,4.3,0,27.7,27.6,27.6,0,
6,70,58.8,46,32,25.8,12,56,31.7,12,18,8.2,0,27.6,27.5,27.4,0,
7,65,58.5,54,38,35.2,29,51,42.1,32,15,7,0,27.7,27.5,27.4,0,
8,66,58.2,51,35,19,8,49,24,11,23,12.8,0,27.8,27.8,27.7,0,
9,66,54.4,44,23,16.2,11,36,23.7,14,7,3,0,27.9,27.8,27.8,0,
10,48,47,46,23,23,23,40,38.5,37,7,6.5,6,27.8,27.8,27.8,0,
11,71,63.1,57,31,26,19,35,25,17,18,11,0,27.6,27.6,27.6,0,
12,66,58.3,49,34,32.1,30,52,38,26,8,4,0,27.7,27.6,27.6,0,
13,68,60.5,53,34,24,14,44,26.6,14,24,16.2,9,27.7,27.6,27.6,0,
14,63,53.6,45,26,20.4,9,40,28,18,28,15.6,5,27.7,27.6,27.5,0,
15,57,50.9,47,45,39,27,80,66.3,32,22,8.3,0,27.6,27.5,27.5,0.02,
16,59,50,46,46,42.4,35,93,77.5,42,10,5.3,0,27.7,27.7,27.6,0.6,
17,66,57.6,48,44,39.8,37,66,52.8,34,14,7.2,0,27.8,27.7,27.7,0.12,
18,74,63.3,52,43,35.9,29,69,39.2,20,18,9.1,3,27.8,27.8,27.7,0,
19,72,62.3,50,41,38.3,33,68,43.7,25,10,3.8,0,27.8,27.7,27.7,0,
20,78,65.4,53,41,36.8,34,55,36.8,21,8,4,0,27.7,27.6,27.6,0,
21,81,67.6,55,40,33.1,24,51,31.1,12,15,7.2,0,27.7,27.6,27.6,0,
22,79,67,53,37,29.7,17,55,27.9,11,18,8,0,27.7,27.6,27.5,0,
23,71,64.4,57,39,29.8,21,36,27.6,21,25,16.9,7,27.5,27.4,27.2,0,
24,61,56.5,53,31,28.1,22,43,34.2,23,21,11.1,0,27.4,27.3,27.2,0,
25,66,58.5,50,29,23.5,17,43,27.8,15,18,10,0,27.5,27.5,27.4,0,
26,70,61.9,53,27,21.1,12,34,21.8,12,21,11.4,0,27.7,27.6,27.5,0,
27,73,61.7,47,27,22.5,18,41,23.6,13,16,7.4,0,27.9,27.8,27.6,0,
28,76,68.4,62,32,29.1,24,31,23.5,19,28,19.4,12,27.6,27.5,27.4,0,
29,73,64.7,55,35,24.5,11,42,23.8,10,24,11.8,0,27.5,27.4,27.4,0,
30,62,54.8,46,46,34.3,23,83,51.5,24,16,8.3,0,27.4,27.4,27.4,0,
31,63,51.8,43,42,38.2,30,89,64.1,30,15,6.9,0,27.5,27.4,27.4,0.2,
Apr,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,68,59.2,50,42,33.9,27,74,42.8,21,17,9,3,27.8,27.6,27.5,0,
2,74,64.8,56,35,28.7,26,39,26.7,18,18,9.5,0,27.9,27.9,27.8,0,
3,80,67.4,54,34,30.9,26,45,27.7,16,17,7.5,0,27.9,27.8,27.6,0,
4,79,68.1,57,37,29.9,19,42,26.6,11,30,16.5,6,27.5,27.4,27.3,0,
5,58,52,47,30,22.7,16,48,32.5,21,26,16,6,27.6,27.4,27.3,0,
6,65,55.5,46,30,17.9,10,52,25.8,13,20,10,0,27.8,27.8,27.6,0,
7,67,57.7,47,21,18.7,15,34,23,14,16,5.5,0,27.8,27.7,27.6,0,
8,67,61.8,56,28,18.6,11,34,20.1,12,20,13,0,27.7,27.6,27.6,0,
9,77,65.8,54,24,17.3,14,23,16.2,10,16,10,0,27.8,27.8,27.7,0,
10,81,69,54,32,26.9,23,35,21.8,14,8,4.4,0,27.8,27.8,27.7,0,
11,86,73,58,32,26.3,17,36,19.8,8,8,3.5,0,27.7,27.6,27.5,0,
12,88,74.3,59,32,26.4,20,32,18.8,8,21,9.9,0,27.6,27.5,27.4,0,
13,81,71.9,63,35,23.8,14,34,17.8,9,29,15.8,0,27.6,27.6,27.5,0,
14,71,62.2,57,37,26.4,15,44,27.7,14,26,16.3,9,27.7,27.6,27.6,0,
15,76,65.3,53,34,29.9,26,48,28.8,16,23,13.6,5,27.7,27.6,27.6,0,
16,83,72,59,28,26.6,23,31,19.5,13,15,5.8,0,27.8,27.7,27.6,0,
17,89,76.1,61,31,28.1,24,31,18.3,10,13,5.4,0,27.7,27.6,27.5,0,
18,86,75.6,65,33,27.8,23,26,17.9,10,13,6,0,27.6,27.6,27.5,0,
19,87,76.2,62,30,27.7,26,30,18,11,9,3.6,0,27.6,27.5,27.4,0,
20,90,79.3,66,35,31,28,28,18,12,12,4.7,0,27.7,27.6,27.5,0,
21,93,80.8,65,35,31,26,33,17.6,9,9,3.7,0,27.7,27.6,27.6,0,
22,95,82.9,68,35,27.7,17,30,15.6,6,21,8.7,0,27.6,27.5,27.4,0,
23,91,80.9,67,33,28.5,22,27,15.6,10,20,10.2,3,27.5,27.5,27.5,0,
24,86,76.8,67,35,26.8,18,30,17.3,8,20,11,3,27.6,27.5,27.4,0,
25,80,73.3,65,38,35.3,27,36,25.4,20,21,10.3,0,27.5,27.5,27.4,0,
26,67,59.7,51,48,42.2,36,80,54,32,30,9.4,0,27.5,27.4,27.4,0,
27,78,67.2,56,41,34.6,27,53,32.6,15,26,13.9,5,27.6,27.5,27.4,0.23,
28,82,72.4,62,36,31.1,28,35,22.8,14,14,6.2,0,27.7,27.6,27.6,0,
29,86,75.2,60,39,32.3,26,46,23.3,12,17,9.3,0,27.6,27.5,27.4,0,
30,90,78.6,68,33,29.5,22,25,17.4,11,15,8.1,0,27.6,27.5,27.4,0,
May,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,86,78.5,69,32,15.9,5,24,10.5,5,23,12.9,5,27.5,27.5,27.4,0,
2,87,75.4,64,16,12.8,9,15,9.7,6,14,7.7,0,27.6,27.5,27.4,0,
3,88,77.5,63,28,21.3,16,20,13,8,10,5.3,0,27.5,27.5,27.4,0,
4,86,75.7,65,37,31.2,26,32,20.4,14,24,13.7,0,27.4,27.4,27.3,0,
5,69,63.9,59,39,24,8,44,25,10,32,16.4,3,27.6,27.4,27.3,0,
6,78,67.4,57,25,21.6,10,25,18.1,13,16,8.2,0,27.7,27.6,27.5,0,
7,87,74.2,59,29,20.6,9,32,15.1,7,30,8.3,0,27.5,27.5,27.4,0,
8,75,66.7,58,19,14.3,12,19,13.7,9,21,12.2,0,27.7,27.6,27.5,0,
9,80,71.1,63,32,24.9,20,25,18.1,14,21,11.1,5,27.7,27.6,27.6,0,
10,81,72.3,65,35,30.9,24,31,22.9,13,18,10.1,0,27.7,27.6,27.6,0,
11,85,74.5,63,36,33.1,30,35,23.3,14,17,8.3,0,27.6,27.6,27.5,0,
12,91,79.2,63,37,32,28,34,19.8,10,9,3.5,0,27.6,27.6,27.5,0,
13,95,84,69,33,28.7,26,25,14.5,9,10,4.9,0,27.6,27.5,27.4,0,
14,94,85.3,73,35,30.9,27,21,14.8,9,17,6,0,27.6,27.5,27.4,0,
15,97,87,75,37,29.5,18,22,13.8,6,18,9.5,0,27.5,27.4,27.4,0,
16,95,84.7,72,30,25.4,20,19,12,7,10,4.4,0,27.6,27.5,27.4,0,
17,98,86.4,71,36,30,26,21,14.1,8,12,5.8,0,27.5,27.5,27.4,0,
18,95,85.8,74,36,28.9,14,24,13.9,6,17,9,3,27.6,27.5,27.4,0,
19,97,83.9,68,39,30.8,20,24,15.2,8,25,10.5,0,27.6,27.5,27.4,0,
20,88,80.6,71,37,31.1,26,23,16.9,13,16,8,0,27.5,27.4,27.4,0,
21,85,77.5,69,26,22.5,20,18,13.1,10,20,8.3,0,27.6,27.6,27.5,0.01,
22,93,79.8,64,28,23.3,18,24,13.5,7,21,9.1,0,27.6,27.5,27.4,0,
23,90,81.6,70,32,28.9,26,24,15.3,11,17,6,0,27.5,27.4,27.4,0,
24,90,81.2,72,35,28.5,20,20,14.8,11,25,13.8,6,27.5,27.4,27.3,0,
25,89,78.9,66,37,34.6,32,34,21,14,17,9.5,0,27.5,27.4,27.3,0,
26,92,81.3,67,34,30.9,28,28,17.2,10,12,6.9,0,27.6,27.6,27.5,0,
27,95,85.1,70,33,29.6,25,25,14.5,8,13,5.5,0,27.7,27.6,27.6,0,
28,100,87.1,72,34,28.6,20,23,13.3,7,17,8.1,0,27.6,27.6,27.5,0,
29,97,86.9,72,36,30.6,27,19,14,9,16,5.5,0,27.6,27.6,27.5,0,
30,99,89.3,78,35,30.8,24,17,12.6,8,15,6.1,0,27.6,27.6,27.5,0,
31,101,90.7,77,35,30.2,25,21,12,8,14,7,0,27.5,27.5,27.4,0,
Jun,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,100,90.6,76,37,29.3,23,21,12,6,20,10.4,0,27.5,27.4,27.4,0,
2,98,88,76,35,31.6,27,22,13.8,9,15,6.3,0,27.5,27.4,27.4,0,
3,102,91.2,78,39,35.6,33,21,14.5,9,20,8.8,0,27.5,27.4,27.4,0,
4,102,92.8,83,44,40.6,38,22,16.7,12,17,7.5,0,27.6,27.5,27.4,0,
5,107,95.4,81,44,41.1,39,26,16,10,9,4.8,0,27.6,27.5,27.5,0,
6,110,98.8,85,44,41.1,37,21,14.3,9,15,6.5,0,27.6,27.5,27.4,0,
7,109,98.2,84,44,36.6,28,21,12.7,6,18,8.5,0,27.5,27.4,27.3,0,
8,106,96.7,85,49,42,34,25,16,9,21,11.5,3,27.5,27.4,27.4,0,
9,102,92.5,83,45,34.1,17,26,14.3,6,17,10.3,0,27.6,27.5,27.4,0,
10,101,90.4,75,31,27.6,21,17,10.9,7,9,5,0,27.6,27.5,27.5,0,
11,106,94.3,81,35,29.5,25,18,10.7,6,12,4.8,0,27.6,27.5,27.5,0,
12,109,95.4,77,33,27,15,19,9.7,4,18,9.3,0,27.6,27.6,27.5,0,
13,103,94.2,81,35,31.4,25,16,11.1,8,18,8.6,0,27.6,27.6,27.5,0,
14,106,95,80,37,31.7,28,21,11.4,7,14,5.6,0,27.6,27.5,27.4,0,
15,107,95.5,81,37,31,23,19,11.1,6,16,8.4,0,27.5,27.4,27.3,0,
16,103,92.5,80,31,27.2,21,16,10.2,6,18,9.3,0,27.4,27.3,27.2,0,
17,102,90,79,34,28.5,12,18,11.7,6,25,11.1,0,27.4,27.3,27.2,0,
18,90,81.3,72,25,12.7,4,13,7.6,6,29,9.3,0,27.6,27.5,27.4,0,
19,98,86.5,73,27,20.1,14,17,9.5,5,18,7,0,27.5,27.5,27.4,0,
20,103,91.4,75,35,32,26,22,12.7,8,13,4.4,0,27.5,27.4,27.3,0,
21,107,94.3,80,38,34.7,30,21,13,7,15,5.4,0,27.5,27.4,27.4,0,
22,109,96.6,79,46,38.2,33,23,13.8,9,14,6.8,0,27.6,27.5,27.5,0,
23,110,100,86,52,46.7,44,28,17,11,17,8,0,27.6,27.5,27.4,0,
24,112,102,92,56,49.8,43,27,18.3,10,16,9.1,0,27.6,27.5,27.4,0,
25,110,101.2,88,57,52.9,48,29,20.1,16,24,8.8,0,27.6,27.5,27.4,0,
26,109,100.1,90,61,52.3,44,38,21.4,13,18,10.5,0,27.6,27.5,27.4,0,
27,109,100.4,91,49,43.7,36,23,15,10,26,14.9,3,27.5,27.4,27.3,0,
28,106,96.3,85,37,30.4,20,18,10.5,5,21,11.4,0,27.5,27.4,27.3,0,
29,108,96.4,82,38,30.3,21,20,10.6,5,17,9.3,0,27.6,27.5,27.4,0,
30,107,95.7,80,35,26.7,19,17,9.4,4,28,10.5,0,27.6,27.5,27.5,0,
Jul,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,107,96.1,83,42,35.5,29,22,12.8,7,22,11.5,0,27.6,27.5,27.4,0,
2,106,96.8,83,39,35.7,30,17,12.1,9,12,5,0,27.6,27.5,27.4,0,
3,112,100.4,85,40,31.4,24,20,10,5,12,6.1,0,27.6,27.5,27.5,0,
4,114,101.2,89,33,26.3,23,11,7.5,5,13,7.5,0,27.7,27.6,27.5,0,
5,111,99.7,84,32,24.9,21,14,7.6,4,13,5.4,0,27.7,27.6,27.5,0,
6,114,101.7,86,32,24.7,20,14,7.1,4,12,6.2,0,27.6,27.5,27.5,0,
7,118,105.6,90,27,21.1,16,8,5.1,3,21,9.8,5,27.6,27.5,27.4,0,
8,113,102.9,86,31,23.7,15,11,6.3,4,10,5.4,0,27.6,27.5,27.4,0,
9,117,103.1,87,36,27.6,21,15,7.9,4,15,6.3,0,27.6,27.5,27.4,0,
10,117,105.8,90,31,25.4,22,12,6.4,4,18,7.7,0,27.6,27.5,27.5,0,
11,116,107.4,99,32,27.5,24,9,6.4,5,17,7.5,0,27.6,27.5,27.4,0,
12,113,103.2,92,51,42.4,31,19,12.9,8,33,8.4,0,27.6,27.5,27.5,0,
13,107,96.4,84,66,53.8,46,55,25.5,13,25,12.4,0,27.7,27.6,27.6,0,
14,106,96.4,84,59,52,43,41,24,12,25,10.4,0,27.7,27.7,27.6,0.08,
15,108,99.4,90,50,48,44,25,18,12,18,7.5,0,27.7,27.6,27.5,0,
16,108,99.3,88,53,47.5,43,27,18,12,10,4.8,0,27.6,27.6,27.5,0,
17,111,100.3,89,49,45.9,43,24,16.3,10,16,7,0,27.6,27.6,27.5,0,
18,105,97.6,89,60,52.4,48,33,22.1,16,22,8,0,27.7,27.6,27.6,0,
19,108,98.3,89,58,53.7,49,35,23.2,14,22,6,0,27.7,27.6,27.6,0,
20,112,101.5,88,54,50.3,47,31,19,12,14,4.9,0,27.7,27.6,27.5,0,
21,112,102,90,59,50.1,47,29,18,12,16,6.5,0,27.6,27.6,27.5,0,
22,110,100.5,94,59,55.9,51,31,23.2,14,24,8.2,0,27.6,27.6,27.5,0,
23,110,101.9,91,62,53.2,50,38,20.3,14,25,10.1,0,27.7,27.6,27.6,0,
24,111,100.4,90,61,57.4,51,38,25.1,14,21,7.5,0,27.8,27.7,27.6,0,
25,113,102.9,93,58,51.1,40,30,19,10,18,8.5,0,27.7,27.6,27.5,0,
26,111,102.3,94,60,44.9,36,31,15,8,22,11.9,0,27.6,27.5,27.4,0,
27,106,98.5,91,43,29,17,18,9.7,4,28,17.3,0,27.5,27.4,27.4,0,
28,105,93.9,82,35,29,24,18,10.8,6,22,10.9,0,27.6,27.5,27.4,0,
29,105,94.3,80,33,23.4,14,18,8.7,4,21,11.5,0,27.6,27.6,27.5,0,
30,105,93.2,78,31,23.3,16,15,8.7,4,21,8.6,0,27.6,27.6,27.5,0,
31,107,95,80,46,28.6,22,16,10,6,13,5.8,0,27.7,27.6,27.5,0,
Aug,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,106,97.9,87,56,47.9,38,24,18.5,15,12,5,0,27.7,27.7,27.6,0,
2,103,96.9,91,58,55.3,53,33,25,19,18,8.4,0,27.8,27.7,27.7,0,
3,108,98.9,88,57,51.5,43,34,21.5,11,17,6.7,0,27.7,27.6,27.5,0,
4,111,100,86,48,43.8,40,27,15.5,9,17,6,0,27.6,27.6,27.5,0,
5,112,99.9,87,52,45.8,41,23,16.5,10,17,8.4,3,27.6,27.6,27.5,0,
6,113,102,89,56,45.5,38,27,16,8,15,6.9,0,27.7,27.6,27.5,0,
7,107,98.1,90,63,60.4,56,36,29,22,20,12.8,7,27.7,27.6,27.5,0,
8,103,95.3,85,63,60.5,52,43,32.1,20,26,10.1,6,27.6,27.6,27.5,0,
9,103,94.5,85,62,58.6,55,44,30.9,21,12,6.5,0,27.6,27.6,27.5,0,
10,108,99.4,89,59,56.8,53,36,25,17,16,7.4,0,27.6,27.6,27.5,0,
11,104,96.4,89,63,61.2,58,42,31.5,22,23,13.5,7,27.7,27.6,27.5,0,
12,105,96.7,86,63,56,42,46,27,15,18,13.1,8,27.6,27.5,27.4,0,
13,104,95.7,86,45,40.4,34,23,15.3,10,20,14.3,6,27.6,27.5,27.5,0,
14,103,93.3,83,43,32.7,24,24,13,6,18,10.3,3,27.6,27.6,27.6,0,
15,105,91.5,75,38,30.9,25,22,12.4,6,16,7.4,0,27.6,27.6,27.5,0,
16,108,94.8,76,54,38.8,29,23,14.7,10,16,8.4,0,27.6,27.6,27.5,0,
17,106,98,91,58,50.1,32,31,20.2,12,28,11.6,5,27.6,27.5,27.5,0,
18,104,94.9,84,53,43.5,32,26,17.3,13,20,10,0,27.7,27.6,27.6,0,
19,107,96.8,84,54,46.1,29,35,19.6,8,16,6.9,0,27.7,27.6,27.6,0,
20,110,97.3,83,44,31.4,20,24,11.4,5,21,7.7,0,27.7,27.6,27.5,0,
21,107,97.7,85,58,27.1,14,29,9.3,4,22,11.9,3,27.6,27.6,27.5,0,
22,103,94,83,49,31.2,21,19,11.3,5,23,9.1,0,27.6,27.5,27.4,0,
23,98,89.2,79,31,24,17,16,10.1,5,23,13.4,0,27.6,27.5,27.5,0,
24,95,86,76,32,23.8,14,20,11.2,5,28,17,8,27.6,27.6,27.5,0,
25,93,84,76,38,33.7,26,24,17,11,21,11.9,0,27.7,27.7,27.6,0,
26,96,86.1,75,33,28.8,25,18,13,8,17,7.4,0,27.8,27.8,27.7,0,
27,102,88.5,73,35,30.4,28,24,13.3,8,13,4.8,0,27.7,27.7,27.6,0,
28,105,91.9,77,36,31.4,28,19,12.2,7,15,6.5,0,27.7,27.6,27.5,0,
29,104,92.8,78,41,36.6,33,23,14.5,9,12,4.5,0,27.7,27.6,27.6,0,
30,105,93.9,82,44,39.7,37,24,15.8,10,14,4.6,0,27.8,27.7,27.6,0,
31,104,94.4,85,48,42.9,40,24,17.3,12,24,6.4,0,27.7,27.7,27.6,0,
Sep,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,103,92.5,80,48,44.4,41,31,20,12,10,3.8,0,27.7,27.6,27.6,0,
2,105,94.5,81,47,45,43,28,18.8,14,15,7.5,0,27.7,27.6,27.5,0,
3,106,95.1,82,47,44.5,40,28,18.5,12,17,6,0,27.7,27.6,27.5,0,
4,107,96.1,83,45,42.1,38,26,16.4,11,13,4.8,0,27.7,27.6,27.6,0,
5,107,95.4,84,40,35,28,20,12.5,8,13,6.1,0,27.8,27.7,27.7,0,
6,105,93.3,80,35,31.6,27,18,11.8,7,8,4.2,0,27.8,27.7,27.6,0,
7,106,92.9,79,45,36.1,29,21,14.2,8,21,6.8,0,27.7,27.6,27.5,0,
8,102,91.8,80,51,46.8,42,31,21.8,15,15,7.1,0,27.6,27.6,27.5,0,
9,103,92.2,80,49,45.1,40,33,20.9,12,10,5,0,27.7,27.6,27.5,0,
10,102,92.4,80,44,38.3,34,25,16,10,20,8.5,0,27.6,27.5,27.4,0,
11,99,91.1,82,36,24.4,11,19,10.2,4,23,15,6,27.4,27.4,27.3,0,
12,94,85.3,76,29,26.7,25,16,12.2,9,18,8.1,0,27.4,27.4,27.3,0,
13,95,85.1,74,38,28.8,23,18,13.3,10,12,6.3,0,27.6,27.5,27.4,0,
14,97,85.7,72,54,41.3,35,33,21.6,13,16,8.4,0,27.6,27.5,27.4,0,
15,97,87.3,77,54,43.5,27,43,24.3,11,22,9.9,0,27.5,27.4,27.3,0,
16,83,78.1,71,44,36.6,28,31,22.6,18,23,16.3,8,27.4,27.4,27.4,0,
17,83,73.5,63,34,30,26,31,20.8,15,13,5.8,0,27.6,27.5,27.4,0,
18,86,76,65,33,27.3,22,29,17.6,11,9,5.3,0,27.6,27.5,27.5,0,
19,88,77.6,64,37,29.3,23,28,17.9,10,10,4.5,0,27.6,27.5,27.5,0,
20,86,81.9,75,47,41.9,40,34,24.4,20,14,7.1,0,27.6,27.5,27.5,0,
21,92,80.4,69,51,44.3,39,51,30.4,16,14,7.1,0,27.6,27.5,27.5,0,
22,95,82.4,70,47,41.8,37,38,25.3,14,7,4.9,0,27.7,27.6,27.5,0,
23,97,86,76,40,34.8,32,25,16.8,10,14,5.9,0,27.7,27.6,27.5,0,
24,99,86.6,72,34,30.6,28,25,14.2,8,12,5.3,0,27.6,27.6,27.5,0,
25,100,86.8,72,35,30.3,27,26,14.2,8,15,6.3,0,27.6,27.5,27.4,0,
26,101,88.5,73,36,31,27,24,13.6,8,16,6,0,27.6,27.5,27.5,0,
27,103,91.6,79,33,28.4,26,16,10.8,7,18,6.8,0,27.6,27.5,27.5,0,
28,105,91.1,74,37,33.3,31,22,13.6,9,9,4.6,0,27.6,27.5,27.5,0,
29,104,90.3,77,38,32.3,22,23,13.7,8,15,6.2,0,27.6,27.6,27.5,0,
30,103,91.5,80,35,27,20,14,10,7,13,6,0,27.7,27.6,27.6,0,
Oct,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1,105,92.1,77,35,30.4,29,17,11.4,7,13,5.8,0,27.8,27.7,27.6,0,
2,103,91.4,82,33,28.4,26,16,11,7,16,7.9,0,27.7,27.6,27.5,0,
3,102,88.6,76,33,28.1,25,18,12,7,12,5,0,27.6,27.5,27.5,0,
