Property Count,Property Name,Address,Phone,Rooms
228,Rio Hotel & Casino,"3700 W Flamingo Rd, 89103",(702) 777-7777,"2,520"
229,Roulette Motel,"2019 Fremont st, 89101",(702) 910-4637,26
230,SAHARA Las Vegas,"2535 Las Vegas Blvd S, 89109",(702) 761-7000,"1,613"
231,Sam's Town Hotel and Gambling Hall,"5111 Boulder Hwy, 89122",(702) 456-7777,645
232,Santa Fe Station Hotel Casino,"4949 N Rancho Dr, 89130",(702) 658-4900,200
233,"Serene, A Vegas Resort","455 E Harmon, 89169",(702) 369-2281,149
234,Shalimar Hotel of Las Vegas,"1401 Las Vegas Blvd S, 89104",(702) 388-0301,100
235,Siegel Select Convention Center Drive,"220 Convention Center Dr, 89109",(702) 735-4151,102
236,Siegel Select Flamingo,"2530 E Flamingo Rd, 89121",(702) 650-9070,147
237,Siegel Select Las Vegas Blvd,"7260 Las Vegas Blvd S, 89119",(702) 407-5300,155
238,Siegel Slots & Suites,"5011 E craig Rd, 89115",(702) 644-6300,175
239,Siegel Suites Boulder,"4823 Boulder Hwy, 89121",(702) 454-8969,212
240,Siegel Suites Boulder 1 1,"3625 Boulder Hwy, 89121",(702) 431-1400,186
241,Siegel Suites Boulder 1 1 1,"4240 Boulder Hwy, 89121",(702) 433-1788,126
242,Siegel Suites Checkmate,"4735 Deckow Ln, 89169",(702) 904-8632,51
243,Siegel Suites Craig,"5230 E craig Rd, 89115",(702) 644-3038,124
244,Siegel Suites Swenson,"4055 University Center Dr, 89119",(702) 732-7678,330
245,Siegel Suites Swenson 1 1,"4075 University Center Dr, 89119",(702) 732-7678,96
246,Siegel Suites Twain,"455 E Twain Ave, 89169",(702) 733-8007,190
247,Siegel Suites Twain 1 1 1,"454 E Twain Ave, 89169",(702) 369-1200,119
248,Siegel Suites Twain IV,"446 E Twain Ave, 89169",(702) 735-0139,168
249,Siena Suites Hotel,"6555 Boulder Hwy, 89122",(702) 648-2100,600
250,The Signature at MGM Grand *,"145 E Harmon Ave, 89109",(702) 797-6000,730
251,Silver Sevens Hotel & Casino,"4100 Paradise Rd, 89169",(702) 733-7000,328
252,Silverton Casino Lodge,"3333 Blue Diamond Rd, 89139",(702) 263-7777,300
253,Sin City Hostel,"1208 Las Vegas Blvd S, 89104",(702) 868-0222,8
254,Skyline Hotel & Casino,"1741 N Boulder Hwy, 89011",(702) 565-7907,51
255,Sonesta Select Las Vegas Summerlin,"1901 N Rainbow Blvd, 89108",(702) 646-4400,154
256,Sonesta Simply Suites Las Vegas,"4034 S Paradise Rd, 89169",(702) 836-3660,276
257,South Point Hotel Casino & Spa,"9777 Las Vegas Blvd S, 89183",(702) 796-7111,"2,163"
258,Sportsman's Royal Manor,"5600 Boulder Hwy, 89122",(702) 458-7071,665
259,SpringHill Suites Las Vegas Airport,"6590 S Decatur Blvd, 89118",(725) 712-0161,127
260,SpringHill Suites Las Vegas Convention Center,"2989 Paradise Rd, 89109",(702) 433-5880,299
261,SpringHill Suites Las Vegas Henderson,"1481 Paseo Verde Pkwy, 89012",(702) 270-0995,120
262,SpringHill Suites Las Vegas North Speedway,"2910 E craig Rd, 89030",(702) 522-9200,93
263,Starlite Motel,"1873 Las Vegas Blvd N, 89030",(702) 642-1750,32
264,Staybridge Suites,"5735 Dean Martin Dr, 89118",(702) 259-2663,118
265,Sterling Garden Hotel,"1808 E Fremont st, 89101",(702) 382-3990,50
266,"The STRAT Hotel, Casino & Tower","2000 Las Vegas Blvd S, 89104",(702) 380-7777,"2,429"
267,The Suites - Indios,"4625 Boulder Hwy, 89121",(702) 454-4625,280
268,The Suites - Nellis,"4855 Boulder Hwy, 89121",(702) 433-3644,839
269,Suncoast Hotel and Casino,"9090 Alta Dr, 89145",(702) 636-7111,427
270,Sunrise Inn,"910 E Cheyenne Ave, 89030",(702) 399-1500,59
271,Sunset Motel,"6000 Boulder Hwy, 89122",(702) 451-2445,32
272,Sunset Station Hotel Casino,"1301 W Sunset Rd, 89014",(702) 547-7777,457
273,Super 8 by Wyndham Las Vegas North Strip/Fremont St,"1213 Las Vegas Blvd S, 89104",(702) 331-0545,151
274,Tahiti All-Suite Resort *,"5101 W Tropicana Ave, 89103",(702) 284-7200,25
275,Tahiti Village Resort & Spa *,"7200 Las Vegas Blvd S, 89119",(702) 440-6800,176
276,Thunderbird Boutique Hotel,"1215 Las Vegas Blvd S, 89104",(702) 489-7500,72
277,Town and Country Manor,"4311 Boulder Hwy, 89121",(702) 454-9393,143
278,Town and Country Manor 1 1,"4360 Boulder Hwy, 89121",(702) 547-9393,90
279,Town and Country Manor 1 1 1,"5390 Boulder Hwy, 89122",(702) 456-6844,205
280,TownePlace Suites Las Vegas Airport South,"355 E Warm Springs Rd, 89119",(702) 916-2101,115
281,TownePlace Suites Las Vegas City Center,"4920 Dean Martin, 89118",(702) 895-9979,111
282,TownePlace Suites Las Vegas Henderson,"1471 Paseo Verde Pkwy, 89012",(702) 896-2900,108
283,TownePlace Suites Las Vegas North 1-15,"4360 Nexus way, 89115",(725) 288-0900,119
284,Traveler's Bed and Breakfast,"1502 Las Vegas Blvd S, 89104",(702) 385-0809,26
285,Travelodge by Wyndham Las Vegas,"2830 Las Vegas Blvd S, 89109",(702) 735-4222,100
286,Travelodge by Wyndham Las Vegas Airport No/Near The Strip,"5075 Koval Ln, 89119",(702) 736-3600,107
287,"Treasure Island —Tl Hotel & Casino, a Radisson Hotel","3300 Las Vegas Blvd S, 89109",(702) 894-7111,"2,884"
288,Tropicana Las Vegas - a DoubleTree by Hilton,"3801 Las Vegas Blvd S, 89109",(702) 739-2222,"1,470"
289,TRU By Hilton Las Vegas Airport,"6862 Gilespie st, 89119",(702) 213-8300,166
290,Trump International Hotel Las Vegas *,"2000 Fashion Show Dr, 89109",(702) 982-0000,940
291,Tuscany Suites & Casino,"255 E Flamingo Rd, 89169",(702) 893-8933,716
292,Vdara Hotel & Spa,"2600 W Harmon Ave, 89158",(702) 590-2111,"1,395"
293,The Venetian Resort Las Vegas,"3355 Las Vegas Blvd S, 89109",(702) 414-1000,"4,029"
294,Villa Inn,"225 Las Vegas Blvd S, 89101",(702) 382-3878,44
295,Virgin Hotels Las Vegas,"4455 Paradise Rd, 89169",(702) 693-5000,"1,502"
296,Walden Motel,"3085 E Fremont st, 89104",(702) 457-9090,10
297,Waldorf Astoria Las Vegas,"3752 Las Vegas Blvd S, 89158",(702) 590-8888,392
298,Westgate Flamingo Bay Resort *,"5625 W Flamingo Rd, 89103",(702) 252-6000,83
299,Westgate Las Vegas Resort & Casino,"3000 Paradise Rd, 89109",(702) 732-5111,"2,812"
300,The Westin Lake Las Vegas Resort & Spa,"101 Montelago Blvd, 89011",(702) 567-6000,493
301,The Westin Las Vegas Hotel & Spa,"160 E Flamingo Rd, 89109",(702) 836-5900,826
302,WorldMark By Wyndham - Las Vegas Tropicana *,"5275 W Tropicana Ave, 89103",(702) 818-1940,25
